TestCase,ProjectName,CommitHash,iteration,before/after,PS-MarkSweep.count,PS-MarkSweep.time,PS-Scavenge.count,PS-Scavenge.time,blocked.count,count,daemon.count,deadlock.count,deadlocks,heap.committed,heap.init,heap.max,heap.usage,heap.used,loaded,name,new.count,non-heap.committed,non-heap.init,non-heap.max,non-heap.usage,non-heap.used,pools.Code-Cache.committed,pools.Code-Cache.init,pools.Code-Cache.max,pools.Code-Cache.usage,pools.Code-Cache.used,pools.Compressed-Class-Space.committed,pools.Compressed-Class-Space.init,pools.Compressed-Class-Space.max,pools.Compressed-Class-Space.usage,pools.Compressed-Class-Space.used,pools.Metaspace.committed,pools.Metaspace.init,pools.Metaspace.max,pools.Metaspace.usage,pools.Metaspace.used,pools.PS-Eden-Space.committed,pools.PS-Eden-Space.init,pools.PS-Eden-Space.max,pools.PS-Eden-Space.usage,pools.PS-Eden-Space.used,pools.PS-Eden-Space.used-after-gc,pools.PS-Old-Gen.committed,pools.PS-Old-Gen.init,pools.PS-Old-Gen.max,pools.PS-Old-Gen.usage,pools.PS-Old-Gen.used,pools.PS-Old-Gen.used-after-gc,pools.PS-Survivor-Space.committed,pools.PS-Survivor-Space.init,pools.PS-Survivor-Space.max,pools.PS-Survivor-Space.usage,pools.PS-Survivor-Space.used,pools.PS-Survivor-Space.used-after-gc,runnable.count,terminated.count,timed_waiting.count,total.committed,total.init,total.max,total.used,unloaded,uptime,vendor,waiting.count
org.apache.nifi.registry.util.TestFileUtils.testSanitizeFilename,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.007915314575396416,7556976,915,16586@christian-ThinkPad-X250,0,8847360,2555904,-1,-7723112.0,7713928,2555904,2555904,251658240,0.007591756184895834,1910528,655360,0,1073741824,5.600377917289734E-4,601336,5636096,0,-1,0.9233881041061046,5204304,31457280,31457280,347078656,0.02358593897516994,8186176,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,15903928,0,325,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.util.TestFileUtils.testSanitizeFilename,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.00857435013814525,8186176,945,16586@christian-ThinkPad-X250,0,8847360,2555904,-1,-7852104.0,7852104,2555904,2555904,251658240,0.007631937662760417,1920640,655360,0,1073741824,5.667358636856079E-4,608528,5636096,0,-1,0.9445204623909884,5323408,31457280,31457280,347078656,0.02539993701024358,8815776,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,16681264,0,339,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.flow.TestVersionedRemoteProcessGroup.testGetTargetUriAndGetTargetUris,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.00858394448931305,8195336,915,16652@christian-ThinkPad-X250,0,8847360,2555904,-1,-7696256.0,7696352,2555904,2555904,251658240,0.0075452168782552086,1898816,655360,0,1073741824,5.600377917289734E-4,601336,5636096,0,-1,0.9220864939135175,5196968,31457280,31457280,347078656,0.023612330687370186,8195336,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,16528376,0,295,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.flow.TestVersionedRemoteProcessGroup.testGetTargetUriAndGetTargetUris,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.009243784469277698,8825304,946,16652@christian-ThinkPad-X250,0,8847360,2555904,-1,-7913352.0,7913352,2555904,2555904,251658240,0.007624562581380208,1918784,655360,0,1073741824,5.684643983840942E-4,610384,5636096,0,-1,0.9553038131359012,5384184,31457280,31457280,347078656,0.0272400732126841,9454448,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,17374320,0,324,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingRequiredManifestEntries,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.008570219120568198,8182232,917,16845@christian-ThinkPad-X250,0,8847360,2555904,-1,-7712256.0,7712352,2555904,2555904,251658240,0.007571156819661458,1905344,655360,0,1073741824,5.609393119812012E-4,602304,5636096,0,-1,0.9239800031795058,5207640,31457280,31457280,347078656,0.023574575556729135,8182232,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,15905312,0,374,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingRequiredManifestEntries,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.009237793236889072,8819584,961,16845@christian-ThinkPad-X250,0,8847360,2555904,-1,-7913160.0,7913160,2555904,2555904,251658240,0.007630411783854167,1920256,655360,0,1073741824,5.767568945884705E-4,619288,5636096,0,-1,0.9535792151162791,5374464,31457280,31457280,347078656,0.025410908586669185,8819584,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,16739000,0,400,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingManifest,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.00989681204094591,9448768,966,16845@christian-ThinkPad-X250,0,8847360,2555904,-1,-7968816.0,7968816,2555904,2555904,251658240,0.007758585611979166,1953600,655360,0,1073741824,5.796104669570923E-4,622352,5636096,0,-1,0.957103640534157,5394328,31457280,31457280,347078656,0.027223708046166917,9448768,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,17433000,0,409,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingManifest,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.00989681204094591,9448768,966,16845@christian-ThinkPad-X250,0,8847360,2555904,-1,-7978152.0,7978152,2555904,2555904,251658240,0.0077911376953125,1960704,655360,0,1073741824,5.796104669570923E-4,622352,5636096,0,-1,0.9572910042696221,5395384,31457280,31457280,347078656,0.029036507505664652,10077952,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,18064664,0,418,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromGoodNarNoDependencies,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.010555830845002745,10077952,966,16845@christian-ThinkPad-X250,0,8847360,2555904,-1,-8030608.0,8030608,2555904,2555904,251658240,0.007952372233072916,2001280,655360,0,1073741824,5.796104669570923E-4,622352,5636096,0,-1,0.9593477470930233,5406976,31457280,31457280,347078656,0.029036507505664652,10077952,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,18737744,0,428,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromGoodNarNoDependencies,nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.011214849649059583,10707136,970,16845@christian-ThinkPad-X250,0,8847360,2555904,-1,-8071616.0,8071616,2555904,2555904,251658240,0.008043924967447916,2024320,655360,0,1073741824,5.819797515869141E-4,624896,5636096,0,-1,0.9620843931686046,5422400,31457280,31457280,347078656,0.030849306965162387,10707136,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,19414048,0,434,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
