TestCase,iteration,before/after,PS-MarkSweep.count,PS-MarkSweep.time,PS-Scavenge.count,PS-Scavenge.time,blocked.count,count,daemon.count,deadlock.count,deadlocks,heap.committed,heap.init,heap.max,heap.usage,heap.used,loaded,name,new.count,non-heap.committed,non-heap.init,non-heap.max,non-heap.usage,non-heap.used,pools.Code-Cache.committed,pools.Code-Cache.init,pools.Code-Cache.max,pools.Code-Cache.usage,pools.Code-Cache.used,pools.Compressed-Class-Space.committed,pools.Compressed-Class-Space.init,pools.Compressed-Class-Space.max,pools.Compressed-Class-Space.usage,pools.Compressed-Class-Space.used,pools.Metaspace.committed,pools.Metaspace.init,pools.Metaspace.max,pools.Metaspace.usage,pools.Metaspace.used,pools.PS-Eden-Space.committed,pools.PS-Eden-Space.init,pools.PS-Eden-Space.max,pools.PS-Eden-Space.usage,pools.PS-Eden-Space.used,pools.PS-Eden-Space.used-after-gc,pools.PS-Old-Gen.committed,pools.PS-Old-Gen.init,pools.PS-Old-Gen.max,pools.PS-Old-Gen.usage,pools.PS-Old-Gen.used,pools.PS-Old-Gen.used-after-gc,pools.PS-Survivor-Space.committed,pools.PS-Survivor-Space.init,pools.PS-Survivor-Space.max,pools.PS-Survivor-Space.usage,pools.PS-Survivor-Space.used,pools.PS-Survivor-Space.used-after-gc,runnable.count,terminated.count,timed_waiting.count,total.committed,total.init,total.max,total.used,unloaded,uptime,vendor,waiting.count
org.apache.nifi.registry.util.TestFileUtils.testSanitizeFilename,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.007915289437358423,7556952,915,8247@christian-ThinkPad-X250,0,8847360,2555904,-1,-7686528.0,7688096,2555904,2555904,251658240,0.007524871826171875,1893696,655360,0,1073741824,5.600377917289734E-4,601336,5636096,0,-1,0.9215300803960755,5193832,31457280,31457280,347078656,0.023585869826579023,8186152,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,15875336,0,335,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.util.TestFileUtils.testSanitizeFilename,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.008574325000107255,8186152,945,8247@christian-ThinkPad-X250,0,8847360,2555904,-1,-7823960.0,7823960,2555904,2555904,251658240,0.007562001546223958,1903040,655360,0,1073741824,5.667358636856079E-4,608528,5636096,0,-1,0.94256591796875,5312392,31457280,31457280,347078656,0.025399867861652662,8815752,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,16655440,0,368,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.flow.TestVersionedRemoteProcessGroup.testGetTargetUriAndGetTargetUris,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.00858394448931305,8195336,915,8309@christian-ThinkPad-X250,0,8847360,2555904,-1,-7708312.0,7708408,2555904,2555904,251658240,0.007578277587890625,1907136,655360,0,1073741824,5.600377917289734E-4,601336,5636096,0,-1,0.9227493640988372,5200704,31457280,31457280,347078656,0.023612330687370186,8195336,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,16536064,0,334,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.flow.TestVersionedRemoteProcessGroup.testGetTargetUriAndGetTargetUris,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.009243784469277698,8825304,946,8309@christian-ThinkPad-X250,0,8847360,2555904,-1,-7927184.0,7927184,2555904,2555904,251658240,0.007660929361979167,1927936,655360,0,1073741824,5.684643983840942E-4,610384,5636096,0,-1,0.9561341751453488,5388864,31457280,31457280,347078656,0.0272400732126841,9454448,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,17393568,0,355,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingRequiredManifestEntries,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.008570059912994234,8182080,917,8586@christian-ThinkPad-X250,0,8847360,2555904,-1,-7757880.0,7757976,2555904,2555904,251658240,0.007670084635416667,1930240,655360,0,1073741824,5.613714456558228E-4,602768,5636096,0,-1,0.9277187613553779,5228712,31457280,31457280,347078656,0.023574137615653322,8182080,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,15945384,0,318,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingRequiredManifestEntries,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.009229589857156953,8811752,961,8586@christian-ThinkPad-X250,0,8847360,2555904,-1,-7951592.0,7951592,2555904,2555904,251658240,0.007697550455729166,1937152,655360,0,1073741824,5.77189028263092E-4,619752,5636096,0,-1,0.9571675145348837,5394688,31457280,31457280,347078656,0.025388343096499715,8811752,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,16768808,0,333,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingManifest,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.009888591902521794,9440920,966,8586@christian-ThinkPad-X250,0,8847360,2555904,-1,-8006744.0,8006744,2555904,2555904,251658240,0.007829793294270833,1970432,655360,0,1073741824,5.800426006317139E-4,622816,5636096,0,-1,0.9605712890625,5413872,31457280,31457280,347078656,0.02720109645693684,9440920,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,17449128,0,343,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromNarMissingManifest,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.009888591902521794,9440920,966,8586@christian-ThinkPad-X250,0,8847360,2555904,-1,-8012752.0,8012752,2555904,2555904,251658240,0.00784912109375,1975296,655360,0,1073741824,5.800426006317139E-4,622816,5636096,0,-1,0.9607586527979651,5414928,31457280,31457280,347078656,0.029015071442480174,10070512,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,18088944,0,345,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromGoodNarNoDependencies,0,before,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.010548038053224533,10070512,966,8586@christian-ThinkPad-X250,0,8847360,2555904,-1,-8049008.0,8049008,2555904,2555904,251658240,0.007971445719401041,2006080,655360,0,1073741824,5.800426006317139E-4,622816,5636096,0,-1,0.9624009243277616,5424184,31457280,31457280,347078656,0.029015071442480174,10070512,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,18762104,0,350,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
org.apache.nifi.registry.extension.TestNarBundleExtractor.testExtractFromGoodNarNoDependencies,0,after,0,0,0,0,0,4,3,0,[],120586240,125829120,954728448,0.0112077942397292,10700400,970,8586@christian-ThinkPad-X250,0,8847360,2555904,-1,-8103936.0,8103936,2555904,2555904,251658240,0.008105723063151042,2040576,655360,0,1073741824,5.824118852615356E-4,625360,5636096,0,-1,0.9653050622274709,5441112,31457280,31457280,347078656,0.030829899260644826,10700400,0,83886080,83886080,716177408,0.0,0,0,5242880,5242880,5242880,0.0,0,0,2,0,0,129433600,128385024,954728447,19446384,0,355,AdoptOpenJDK OpenJDK 64-Bit Server VM 25.242-b08 (1.8),2
