2020-05-16 17:09:02.223  INFO 16924 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.apache.nifi.registry.db.TestDatabaseMetadataService], using SpringBootContextLoader
2020-05-16 17:09:02.230  INFO 16924 --- [           main] o.s.t.c.support.AbstractContextLoader    : Could not detect default resource locations for test class [org.apache.nifi.registry.db.TestDatabaseMetadataService]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-16 17:09:02.235  INFO 16924 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@663e1144, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4efa7d2f]
2020-05-16 17:09:02.259  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@36e358de, testMethod = testGetExtensionBundleVersionByBucketGroupArtifactVersionWhenDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@c14bbab]; rollback [true]
2020-05-16 17:09:02.351  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@36e358de, testMethod = testGetExtensionBundleVersionByBucketGroupArtifactVersionWhenDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]
2020-05-16 17:09:02.367  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@32ae11c9, testMethod = testGetFlowByIdWhenDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@c14bbab]; rollback [true]
2020-05-16 17:09:02.394  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@32ae11c9, testMethod = testGetFlowByIdWhenDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]
2020-05-16 17:09:02.422  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@6920fa35, testMethod = testGetExtensionByIdDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@c14bbab]; rollback [true]
2020-05-16 17:09:02.447  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@6920fa35, testMethod = testGetExtensionByIdDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]
2020-05-16 17:09:02.450  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@19542115, testMethod = testGetExtensionBundleVersionByBundleIdAndVersion@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@c14bbab]; rollback [true]
2020-05-16 17:09:02.464  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@19542115, testMethod = testGetExtensionBundleVersionByBundleIdAndVersion@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]
2020-05-16 17:09:02.467  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@3da30ce5, testMethod = testGetExtensionBundles@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@c14bbab]; rollback [true]
2020-05-16 17:09:02.483  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@3da30ce5, testMethod = testGetExtensionBundles@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]
2020-05-16 17:09:02.487  INFO 16924 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@2041c9a3 testClass = TestDatabaseMetadataService, testInstance = org.apache.nifi.registry.db.TestDatabaseMetadataService@6097f225, testMethod = testGetExtensionsByBundleCoordinateDoesNotExist@TestDatabaseMetadataService, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2bed5828 testClass = TestDatabaseMetadataService, locations = '{}', classes = '{class org.apache.nifi.registry.db.DatabaseTestApplication, class org.apache.nifi.registry.db.DatabaseTestApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@16aa0a0a, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@50a7bc6e, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@2aa5fe93, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@78047b92], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map[[empty]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@c14bbab]; rollback [true]
